team,position,full_name,height,weight,gsis_id,years_exp,week,draft_number,avg_time_to_throw,avg_intended_air_yards,aggressiveness,avg_air_yards_to_sticks,completion_percentage_above_expectation,max_air_distance,efficiency,percent_attempts_gte_eight_defenders,rush_yards,rush_yards_over_expected_per_att,avg_cushion,avg_separation,percent_share_of_intended_air_yards,catch_percentage,avg_yac_above_expectation,pass_attempt,rec_attempt,rush_attempt,pass_air_yards,rec_air_yards,pass_completions,receptions,pass_yards_gained,rec_yards_gained,rush_yards_gained,pass_touchdown,rec_touchdown,rush_touchdown,pass_interception,rec_fumble_lost,rush_fumble_lost,pass_yards_gained_diff,rec_yards_gained_diff,rush_yards_gained_diff,pass_touchdown_diff,rec_touchdown_diff,rush_touchdown_diff,pass_attempt_team,rec_attempt_team,rush_attempt_team,opponent,offense_snaps,offense_pct,team_home,team_away,total,spread_line,roof,surface,temp,wind,targets,air_yards,snap_share,target_share,air_yards_share,total_touchdowns,fantasy_points,rush_attempts,rush_ypa,rush_share,delta_targets,targets_3wk_avg,targets_7wk_avg,targets_trend_3v7,air_yards_3wk_avg,air_yards_7wk_avg,air_yards_trend_3v7,snap_share_3wk_avg,snap_share_7wk_avg,snap_share_trend_3v7,fantasy_ppr_3wk_avg,fantasy_ppr_7wk_avg,fantasy_ppr_trend_3v7,tds_3wk_avg,tds_7wk_avg,tds_trend_3v7,gadget_usage_3wk_avg,yards_per_target,rec_td_rate,catch_rate,fp_per_target,racr,team_implied_points,is_favored,abs_spread,def_te_ftps,def_te_targets,def_te_yards_per_target,years_exp_filled,is_rookie,is_second_year,draft_number_filled,is_undrafted
DEN,TE,Marcedes Lewis,78.0,267.0,00-0024243,19,10,28.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,0.0,LV,20.0,0.33,DEN,LV,17.0,9.5,outdoors,grass,60.0,10.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21500000000000002,0.21500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0,9.5,4.38,5.15,7.27378640776699,19,0,0,28.0,0
DEN,TE,Marcedes Lewis,78.0,267.0,00-0024243,19,14,28.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,0.0,LV,28.0,0.38,LV,DEN,41.0,-8.5,dome,grass,,,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.25,0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.25,0,8.5,8.31,8.38,7.472553699284009,19,0,0,28.0,0
DEN,TE,Marcedes Lewis,78.0,267.0,00-0024243,19,11,28.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,0.0,KC,12.0,0.19,DEN,KC,41.0,-3.5,outdoors,grass,70.0,6.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20666666666666667,0.20666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.25,1,3.5,5.38,5.69,8.151142355008787,19,0,0,28.0,0
DEN,TE,Marcedes Lewis,78.0,267.0,00-0024243,19,15,28.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,DEN,GB,,-2.5,outdoors,grass,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18999999999999997,0.2,-0.010000000000000037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,2.5,6.77,7.85,5.8012738853503185,19,0,0,28.0,0
DEN,TE,Marcedes Lewis,78.0,267.0,00-0024243,19,9,28.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,0.0,HOU,6.0,0.1,HOU,DEN,33.0,1.5,closed,astroturf,,,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.25,1,1.5,8.31,8.38,7.472553699284009,19,0,0,28.0,0
WAS,TE,Zach Ertz,77.0,250.0,00-0030061,12,14,35.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,19.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.760000000000002,0.0,0.0,-0.01,0.0,24.0,24.0,23.0,MIN,36.0,0.69,MIN,WAS,31.0,-1.5,dome,sportturf,,,2.0,19.0,0.69,0.08333333333333333,0.0,0.0,2.1,0.0,0.0,0.0,-11.0,7.666666666666667,6.428571428571429,1.2380952380952381,75.33333333333333,65.57142857142857,9.76190476190476,0.7033333333333335,0.6914285714285714,0.011904761904762085,11.300000000000002,10.028571428571427,1.2714285714285758,0.0,0.14285714285714285,-0.14285714285714285,0.0,5.5,0.0,0.5,1.05,0.5789473684210527,14.75,0,1.5,10.77,6.85,8.96058394160584,12,0,0,35.0,0
WAS,TE,Zach Ertz,77.0,250.0,00-0030061,12,13,35.0,,8.489230769230769,,,,,,,,,6.0672727272727265,3.3876217685114534,21.702194603948712,76.92307692307693,-1.1350961680139227,0.0,13.0,0.0,0.0,120.0,0.0,10.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4399999999999977,0.0,0.0,-0.47,0.0,50.0,50.0,33.0,DEN,60.0,0.67,WAS,DEN,53.0,-6.5,outdoors,grass,40.0,13.0,13.0,120.0,0.67,0.26,21.702194603948712,0.0,23.6,0.0,0.0,0.0,5.0,8.666666666666666,7.0,1.666666666666666,98.0,67.42857142857143,30.57142857142857,0.7433333333333335,0.6785714285714286,0.06476190476190491,13.733333333333334,12.057142857142859,1.6761904761904756,0.0,0.2857142857142857,-0.2857142857142857,0.0,8.153846153846153,0.0,0.7692307692307693,1.8153846153846156,0.8833333333333333,29.75,1,6.5,8.31,8.38,7.472553699284009,12,0,0,35.0,0
WAS,TE,Zach Ertz,77.0,250.0,00-0030061,12,2,35.0,,5.89875,,,,,,,,,7.3514285714285705,2.749450799309386,16.72573899482526,75.0,0.8187952122084892,0.0,8.0,0.0,0.0,45.0,0.0,6.0,0.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.130000000000003,0.0,0.0,0.96,0.0,42.0,42.0,19.0,GB,62.0,0.9,GB,WAS,45.0,3.5,outdoors,grass,65.0,7.0,8.0,45.0,0.9,0.19047619047619047,16.72573899482526,1.0,18.4,0.0,0.0,0.0,3.0,6.5,6.5,0.0,43.5,43.5,0.0,0.77,0.77,0.0,15.0,15.0,0.0,1.0,1.0,0.0,0.0,8.0,0.16666666666666666,0.75,2.3,1.4222222222222223,24.25,1,3.5,10.77,6.85,8.96058394160584,12,0,0,35.0,0
WAS,TE,Zach Ertz,77.0,250.0,00-0030061,12,9,35.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,0.0,42.0,0.0,4.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.130000000000003,0.0,0.0,-0.01,0.0,22.0,22.0,36.0,SEA,41.0,0.63,WAS,SEA,52.0,-2.5,outdoors,grass,53.0,3.0,4.0,42.0,0.63,0.18181818181818182,0.0,0.0,8.600000000000001,0.0,0.0,0.0,-2.0,5.666666666666667,4.428571428571429,1.2380952380952381,48.666666666666664,36.57142857142857,12.095238095238095,0.64,0.5971428571428571,0.04285714285714293,8.966666666666669,7.728571428571429,1.23809523809524,0.3333333333333333,0.2857142857142857,0.047619047619047616,0.0,11.5,0.0,1.0,2.1500000000000004,1.0952380952380953,27.25,1,2.5,9.46,8.85,8.109604519774011,12,0,0,35.0,0
WAS,TE,Zach Ertz,77.0,250.0,00-0030061,12,3,35.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,33.0,0.0,3.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.260000000000002,0.0,0.0,-0.01,0.0,21.0,21.0,32.0,LV,30.0,0.52,WAS,LV,65.0,2.5,outdoors,grass,72.0,6.0,3.0,33.0,0.52,0.14285714285714285,0.0,0.0,6.800000000000001,0.0,0.0,0.0,-5.0,5.333333333333333,5.333333333333333,0.0,40.0,40.0,0.0,0.6866666666666666,0.6866666666666666,0.0,12.266666666666666,12.266666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,12.666666666666666,0.0,1.0,2.266666666666667,1.1515151515151516,31.25,0,2.5,4.38,5.15,7.27378640776699,12,0,0,35.0,0
