player_id,player_name,player_display_name,position,position_group,headshot_url,season,week,season_type,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,fantasy_points,fantasy_points_ppr
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",2025,,REG,,,183,274,1853,18,7,18,-110,1,0,1641,1183,80,7.290965873786883,1.8132361090781606,1,1.129189518586228,13,18,0,1,0,1,-3.387977474430807,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,135.92000000000002,135.92000000000002
00-0024243,M.Lewis,Marcedes Lewis,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",2025,,REG,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0.0,0.0
00-0026158,J.Flacco,Joe Flacco,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vbqptn8emdlbeaz1kvmx",2025,,REG,,,205,333,2069,13,8,16,-101,3,3,2416,998,96,-15.679762304308712,-1.6496656685585342,2,0.8563741721854304,14,29,1,0,0,6,3.5290336366962394,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,125.66,125.66
00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2025,,REG,,,208,310,2427,25,2,14,-88,1,1,2769,907,126,86.96847017351924,4.383822456495651,0,0.8764897074756229,24,-9,0,3,1,3,-30.222097535879584,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,188.17999999999998,188.17999999999998
00-0027973,A.Dalton,Andy Dalton,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nyjb97rajdqckaxsoniv",2025,,REG,,,25,37,293,1,1,8,-54,1,1,348,90,17,-5.661670377857174,6.595920026302338,0,0.8419540229885057,5,-2,0,1,1,1,-8.659153220243752,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,9.520000000000001,9.520000000000001
00-0028118,T.Taylor,Tyrod Taylor,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nqpyumxuo0e9sitk0a0o",2025,,REG,,,43,69,379,3,3,9,-51,1,1,520,154,23,-6.754606023164955,1.5486470226085547,0,0.7288461538461538,14,80,0,0,0,4,0.22679394015501408,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,27.16,27.16
00-0029263,R.Wilson,Russell Wilson,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vkstxj0evgkjiycu4glc",2025,,REG,,,69,119,831,3,3,10,-66,2,0,1058,376,32,-15.676451989242679,-1.4799695769581227,0,0.7854442344045368,18,106,0,1,0,6,-1.2863639157300102,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,49.84,49.84
00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hmdqr7gju0dciapvdjcv",2025,,REG,,,26,38,202,0,0,1,-5,0,0,295,94,8,-8.91140414722031,0.4385721844595832,0,0.6847457627118644,2,2,0,0,0,0,0.08780237822793424,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,8.28,8.28
00-0030035,A.Thielen,Adam Thielen,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pv6gajxtt6zhum2unnsl",2025,,REG,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,7,15,63,0,0,0,125,9,5,1.4234625050304457,1,0.504,0.05454545454545454,0.052323147760569275,0.1184443852505803,8.3,15.3
00-0030061,Z.Ertz,Zach Ertz,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",2025,,REG,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,35,49,345,4,1,0,430,78,17,12.280378931165286,1,0.8023255813953488,0.18702290076335878,0.18344709897610922,0.4089473204283146,60.5,95.5
