gsis_id,display_name,first_name,last_name,short_name,football_name,position_group,position,height,weight,college_conference,rookie_season,last_season,latest_team,status,ngs_status,ngs_status_short_description,years_of_experience,pff_status,draft_year,draft_round,draft_pick,draft_team
00-0032104,Ameer Abdullah,Ameer,Abdullah,A.Abdullah,Ameer,RB,RB,69.0,203.0,Big Ten Conference,2015,2025,IND,ACT,ACT,Active,11,A,2015.0,2.0,54.0,DET
00-0039040,De'Von Achane,De'Von,Achane,D.Achane,Devon,RB,RB,69.0,191.0,Southeastern Conference,2023,2025,MIA,ACT,ACT,Active,3,A,2023.0,3.0,84.0,MIA
00-0031381,Davante Adams,Davante,Adams,D.Adams,Davante,WR,WR,73.0,215.0,Mountain West Conference,2014,2025,LA,ACT,ACT,Active,12,A,2014.0,2.0,53.0,GB
00-0038994,Jordan Addison,Jordan,Addison,J.Addison,Jordan,WR,WR,71.0,175.0,Pacific Twelve Conference,2023,2025,MIN,ACT,ACT,Active,3,A,2023.0,1.0,23.0,MIN
00-0038783,Nate Adkins,Nathan,Adkins,N.Adkins,Nate,TE,TE,75.0,252.0,Southeastern Conference,2023,2025,DEN,ACT,ACT,Inactive,3,I,,,,
00-0033572,Jamal Agnew,Jamal,Agnew,J.Agnew,Jamal,WR,WR,70.0,190.0,Pioneer Football League,2017,2025,ATL,ACT,ACT,Active,9,A,2017.0,5.0,165.0,DET
00-0039796,Rasheen Ali,Rasheen,Ali,R.Ali,Rasheen,RB,RB,71.0,210.0,Sun Belt Conference,2024,2025,BAL,ACT,ACT,Active,2,I,2024.0,5.0,165.0,BAL
00-0033217,Mo Alie-Cox,Mohamed,Alie-Cox,M.Alie-Cox,Mo,TE,TE,77.0,267.0,NO FOOTBALL,2017,2025,IND,ACT,ACT,Active,8,A,,,,
00-0032434,Brandon Allen,Brandon,Allen,B.Allen,Brandon,QB,QB,74.0,209.0,Southeastern Conference,2016,2025,TEN,ACT,ACT,Active,9,A,2016.0,6.0,201.0,JAX
00-0039074,Davis Allen,Davis,Allen,D.Allen,Davis,TE,TE,78.0,251.0,Atlantic Coast Conference,2023,2025,LA,ACT,ACT,Active,3,A,2023.0,5.0,175.0,LA
00-0034857,Josh Allen,Joshua,Allen,J.Allen,Josh,QB,QB,77.0,237.0,Mountain West Conference,2018,2025,BUF,ACT,ACT,Active,8,A,2018.0,1.0,7.0,BUF
00-0030279,Keenan Allen,Keenan,Allen,K.Allen,Keenan,WR,WR,74.0,211.0,Pacific Twelve Conference,2013,2025,LAC,ACT,ACT,Active,13,A,2013.0,3.0,76.0,LAC
00-0034577,Kyle Allen,Kyle,Allen,K.Allen,Kyle,QB,QB,75.0,210.0,American Athletic Conference,2018,2025,DET,ACT,ACT,Active,7,A,,,,
00-0040238,LeQuint Allen Jr.,LeQuint,Allen,L.Allen,LeQuint,RB,RB,72.0,201.0,Atlantic Coast Conference,2025,2025,JAX,ACT,ACT,Active,0,A,2025.0,7.0,236.0,JAX
00-0037263,Tyler Allgeier,Tyler,Allgeier,T.Allgeier,Tyler,RB,RB,71.0,225.0,Independent,2022,2025,ATL,ACT,ACT,Active,4,A,2022.0,5.0,151.0,ATL
00-0034753,Mark Andrews,Mark,Andrews,M.Andrews,Mark,TE,TE,77.0,250.0,Big Twelve Conference,2018,2025,BAL,ACT,ACT,Active,8,A,2018.0,3.0,86.0,BAL
00-0040739,Elijah Arroyo,Elijah,Arroyo,E.Arroyo,Elijah,TE,TE,77.0,254.0,Atlantic Coast Conference,2025,2025,SEA,ACT,ACT,Active,0,A,2025.0,2.0,50.0,SEA
00-0037837,Calvin Austin III,Calvin,Austin,C.Austin,Calvin,WR,WR,69.0,162.0,American Athletic Conference,2022,2025,PIT,ACT,ACT,Active,4,A,2022.0,4.0,138.0,PIT
