season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,height,weight,college,gsis_id,sleeper_id,years_exp,headshot_url,week,game_type,status_description_abbr,football_name,entry_year,rookie_year,draft_club,draft_number
2025,GB,DL,DT,69.0,DEV,Dante Barnett,Dante,Barnett,,275.0,,,,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ojtce2im0wp2ltyel0vc",10,REG,P03,Dante,2025,2025,,
2025,PIT,QB,QB,8.0,ACT,Aaron Rodgers,Aaron,Rodgers,74.0,225.0,California; Butte College,00-0023459,96,20,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",10,REG,A01,Aaron,2005,2005,GB,24.0
2025,BUF,K,K,15.0,ACT,Matt Prater,Matt,Prater,70.0,201.0,UCF,00-0023853,17,19,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",10,REG,A01,Matt,2006,2006,,
2025,DEN,TE,TE,89.0,ACT,Marcedes Lewis,Marcedes,Lewis,78.0,267.0,UCLA,00-0024243,111,19,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",10,REG,P07,Marcedes,2006,2006,JAX,28.0
2025,NYJ,K,K,6.0,ACT,Nick Folk,Nick,Folk,73.0,222.0,Arizona,00-0025565,650,18,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcfiv2cc7ky37yq9iklp",10,REG,A01,Nick,2007,2007,DAL,178.0
2025,CAR,LS,LS,44.0,ACT,J.J. Jansen,Jeffrey,Jansen,74.0,235.0,Notre Dame,00-0026027,,17,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vmbidsuvur7zfmpt9xak",10,REG,A01,J.J.,2008,2008,,
2025,CIN,QB,QB,16.0,ACT,Joe Flacco,Joseph,Flacco,78.0,245.0,Delaware; Pittsburgh,00-0026158,19,17,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vbqptn8emdlbeaz1kvmx",9,REG,A01,Joe,2008,2008,BAL,18.0
2025,ARI,DL,DT,93.0,ACT,Calais Campbell,Calais,Campbell,80.0,300.0,Miami,00-0026190,125,17,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/juvpepl8uc1p9rs7upsf",10,REG,A01,Calais,2008,2008,ARI,50.0
2025,WAS,QB,QB,14.0,ACT,Josh Johnson,Joshua,Johnson,75.0,219.0,San Diego,00-0026300,260,17,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ibuhbuhomisj4t8vvhay",10,REG,A01,Josh,2008,2008,TB,160.0
2025,LA,QB,QB,9.0,ACT,Matthew Stafford,John,Stafford,75.0,220.0,Georgia,00-0026498,421,16,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",10,REG,A01,Matthew,2009,2009,DET,1.0
