game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,spread_line,roof,surface,temp,wind,stadium_id,stadium
2025_01_DAL_PHI,2025,REG,1,2025-09-04,Thursday,20:20,DAL,20.0,PHI,24.0,Home,4.0,44.0,8.5,outdoors,grass,75.0,11.0,PHI00,Lincoln Financial Field
2025_01_KC_LAC,2025,REG,1,2025-09-05,Friday,20:00,KC,21.0,LAC,27.0,Neutral,6.0,48.0,-3.0,dome,,,,LAX01,SoFi Stadium
2025_01_TB_ATL,2025,REG,1,2025-09-07,Sunday,13:00,TB,23.0,ATL,20.0,Home,-3.0,43.0,-1.5,closed,fieldturf,,,ATL97,Mercedes-Benz Stadium
2025_01_CIN_CLE,2025,REG,1,2025-09-07,Sunday,13:00,CIN,17.0,CLE,16.0,Home,-1.0,33.0,-5.5,outdoors,grass,63.0,10.0,CLE00,FirstEnergy Stadium
2025_01_MIA_IND,2025,REG,1,2025-09-07,Sunday,13:00,MIA,8.0,IND,33.0,Home,25.0,41.0,1.5,closed,fieldturf,,,IND00,Lucas Oil Stadium
2025_01_CAR_JAX,2025,REG,1,2025-09-07,Sunday,13:00,CAR,10.0,JAX,26.0,Home,16.0,36.0,4.5,outdoors,grass,85.0,3.0,JAX00,TIAA Bank Stadium
2025_01_LV_NE,2025,REG,1,2025-09-07,Sunday,13:00,LV,20.0,NE,13.0,Home,-7.0,33.0,2.5,outdoors,fieldturf,62.0,4.0,BOS00,Gillette Stadium
2025_01_ARI_NO,2025,REG,1,2025-09-07,Sunday,13:00,ARI,20.0,NO,13.0,Home,-7.0,33.0,-6.0,dome,sportturf,,,NOR00,Mercedes-Benz Superdome
2025_01_PIT_NYJ,2025,REG,1,2025-09-07,Sunday,13:00,PIT,34.0,NYJ,32.0,Home,-2.0,66.0,-3.0,outdoors,fieldturf,67.0,3.0,NYC01,MetLife Stadium
2025_01_NYG_WAS,2025,REG,1,2025-09-07,Sunday,13:00,NYG,6.0,WAS,21.0,Home,15.0,27.0,6.0,outdoors,grass,68.0,5.0,WAS00,FedExField
2025_01_TEN_DEN,2025,REG,1,2025-09-07,Sunday,16:05,TEN,12.0,DEN,20.0,Home,8.0,32.0,8.5,outdoors,grass,84.0,6.0,DEN00,Empower Field at Mile High
2025_01_SF_SEA,2025,REG,1,2025-09-07,Sunday,16:05,SF,17.0,SEA,13.0,Home,-4.0,30.0,-2.5,outdoors,fieldturf,67.0,6.0,SEA00,Lumen Field
2025_01_DET_GB,2025,REG,1,2025-09-07,Sunday,16:25,DET,13.0,GB,27.0,Home,14.0,40.0,1.5,outdoors,grass,60.0,5.0,GNB00,Lambeau Field
2025_01_HOU_LA,2025,REG,1,2025-09-07,Sunday,16:25,HOU,9.0,LA,14.0,Home,5.0,23.0,3.5,dome,matrixturf,,,LAX01,SoFi Stadium
2025_01_BAL_BUF,2025,REG,1,2025-09-07,Sunday,20:20,BAL,40.0,BUF,41.0,Home,1.0,81.0,-1.5,outdoors,a_turf,58.0,8.0,BUF00,New Era Field
2025_01_MIN_CHI,2025,REG,1,2025-09-08,Monday,20:15,MIN,27.0,CHI,24.0,Home,-3.0,51.0,-1.5,outdoors,grass,68.0,6.0,CHI98,Soldier Field
2025_02_WAS_GB,2025,REG,2,2025-09-11,Thursday,20:15,WAS,18.0,GB,27.0,Home,9.0,45.0,3.5,outdoors,grass,65.0,7.0,GNB00,Lambeau Field
2025_02_CLE_BAL,2025,REG,2,2025-09-14,Sunday,13:00,CLE,17.0,BAL,41.0,Home,24.0,58.0,12.5,outdoors,grass,82.0,3.0,BAL00,M&T Bank Stadium
2025_02_JAX_CIN,2025,REG,2,2025-09-14,Sunday,13:00,JAX,27.0,CIN,31.0,Home,4.0,58.0,3.5,outdoors,fieldturf,85.0,3.0,CIN00,Paycor Stadium
2025_02_NYG_DAL,2025,REG,2,2025-09-14,Sunday,13:00,NYG,37.0,DAL,40.0,Home,3.0,77.0,4.5,closed,matrixturf,,,DAL00,AT&T Stadium
2025_02_CHI_DET,2025,REG,2,2025-09-14,Sunday,13:00,CHI,21.0,DET,52.0,Home,31.0,73.0,6.0,dome,fieldturf,,,DET00,Ford Field
2025_02_NE_MIA,2025,REG,2,2025-09-14,Sunday,13:00,NE,33.0,MIA,27.0,Home,-6.0,60.0,1.5,outdoors,grass,89.0,4.0,MIA00,Hard Rock Stadium
2025_02_SF_NO,2025,REG,2,2025-09-14,Sunday,13:00,SF,26.0,NO,21.0,Home,-5.0,47.0,-3.0,dome,sportturf,,,NOR00,Mercedes-Benz Superdome
2025_02_BUF_NYJ,2025,REG,2,2025-09-14,Sunday,13:00,BUF,30.0,NYJ,10.0,Home,-20.0,40.0,-6.0,outdoors,fieldturf,80.0,3.0,NYC01,MetLife Stadium
2025_02_SEA_PIT,2025,REG,2,2025-09-14,Sunday,13:00,SEA,31.0,PIT,17.0,Home,-14.0,48.0,3.5,outdoors,grass,79.0,5.0,PIT00,Acrisure Stadium
2025_02_LA_TEN,2025,REG,2,2025-09-14,Sunday,13:00,LA,33.0,TEN,19.0,Home,-14.0,52.0,-5.5,outdoors,grass,83.0,3.0,NAS00,Nissan Stadium
2025_02_CAR_ARI,2025,REG,2,2025-09-14,Sunday,16:05,CAR,22.0,ARI,27.0,Home,5.0,49.0,7.0,closed,grass,,,PHO00,State Farm Stadium
2025_02_DEN_IND,2025,REG,2,2025-09-14,Sunday,16:05,DEN,28.0,IND,29.0,Home,1.0,57.0,-2.5,closed,fieldturf,,,IND00,Lucas Oil Stadium
2025_02_PHI_KC,2025,REG,2,2025-09-14,Sunday,16:25,PHI,20.0,KC,17.0,Home,-3.0,37.0,-1.5,outdoors,grass,88.0,12.0,KAN00,GEHA Field at Arrowhead Stadium
2025_02_ATL_MIN,2025,REG,2,2025-09-14,Sunday,20:20,ATL,22.0,MIN,6.0,Home,-16.0,28.0,3.5,dome,sportturf,,,MIN01,U.S. Bank Stadium
2025_02_TB_HOU,2025,REG,2,2025-09-15,Monday,19:00,TB,20.0,HOU,19.0,Home,-1.0,39.0,2.5,closed,astroturf,,,HOU00,NRG Stadium
2025_02_LAC_LV,2025,REG,2,2025-09-15,Monday,22:00,LAC,20.0,LV,9.0,Home,-11.0,29.0,-3.5,dome,grass,,,VEG00,Allegiant Stadium
2025_03_MIA_BUF,2025,REG,3,2025-09-18,Thursday,20:15,MIA,21.0,BUF,31.0,Home,10.0,52.0,12.5,outdoors,a_turf,68.0,7.0,BUF00,New Era Field
2025_03_ATL_CAR,2025,REG,3,2025-09-21,Sunday,13:00,ATL,0.0,CAR,30.0,Home,30.0,30.0,-5.5,outdoors,grass,83.0,5.0,CAR00,Bank of America Stadium
2025_03_GB_CLE,2025,REG,3,2025-09-21,Sunday,13:00,GB,10.0,CLE,13.0,Home,3.0,23.0,-8.5,outdoors,grass,79.0,10.0,CLE00,FirstEnergy Stadium
2025_03_HOU_JAX,2025,REG,3,2025-09-21,Sunday,13:00,HOU,10.0,JAX,17.0,Home,7.0,27.0,1.5,outdoors,grass,85.0,11.0,JAX00,TIAA Bank Stadium
2025_03_CIN_MIN,2025,REG,3,2025-09-21,Sunday,13:00,CIN,10.0,MIN,48.0,Home,38.0,58.0,3.0,dome,sportturf,,,MIN01,U.S. Bank Stadium
2025_03_PIT_NE,2025,REG,3,2025-09-21,Sunday,13:00,PIT,21.0,NE,14.0,Home,-7.0,35.0,-1.5,outdoors,fieldturf,66.0,5.0,BOS00,Gillette Stadium
2025_03_LA_PHI,2025,REG,3,2025-09-21,Sunday,13:00,LA,26.0,PHI,33.0,Home,7.0,59.0,3.5,outdoors,grass,73.0,9.0,PHI00,Lincoln Financial Field
