season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,penalties,penalty_yards
2025,ARI,REG,9,205,318,2080,14,4,2230,1019,107,6.75356462338134,-0.31041781369008514,1,227,1021,7,4,2,59,-14.594918874665503,0,205,304,2080,14,0,0,2230,1019,107,87.74553843546708,61,440
2025,ATL,REG,9,179,298,2009,9,3,2466,899,99,-14.512721789501331,-4.1022035104411465,1,241,1074,9,4,2,62,-5.5352346812445,0,179,286,2009,9,1,1,2466,899,99,20.651851728622272,49,381
2025,BAL,REG,9,164,237,1806,16,5,1804,756,83,11.709227201011844,4.8933546374673424,1,244,1236,9,6,3,73,2.807005571664541,0,164,230,1806,16,3,1,1804,756,83,57.00580690123221,54,437
2025,BUF,REG,9,188,269,2193,15,5,2098,1090,109,55.763546620208444,4.161651387014462,0,278,1379,16,7,3,79,25.393213580206552,0,188,262,2193,15,2,1,2098,1090,109,81.3664725806587,61,518
2025,CAR,REG,10,191,306,1807,12,8,2089,829,101,-43.048756257012045,-0.206660144420451,0,292,1331,7,3,3,78,-0.6050976125271574,0,191,287,1807,12,2,0,2089,830,101,23.048746987163916,52,414
2025,CHI,REG,9,182,299,2185,14,4,2512,1093,103,29.083756171790526,-3.6062272355474274,0,263,1326,11,6,1,76,12.602975178821154,0,182,290,2185,14,0,0,2512,1093,103,59.130634331021426,74,601
2025,CIN,REG,9,213,333,2200,19,10,2446,1021,106,0.96795625296656,0.2581474485833562,2,169,709,5,2,1,46,5.669353729106787,0,213,317,2200,19,4,2,2446,1021,106,37.36434300718164,47,318
2025,CLE,REG,9,195,334,1684,9,8,2189,874,78,-97.57174669289428,-6.378875356874889,0,222,874,6,0,0,60,-1.4494472310325364,0,195,316,1684,9,1,0,2189,874,78,-35.39968955546464,63,497
2025,DAL,REG,9,234,338,2418,18,7,2569,1041,119,65.19503111137074,3.7364832018360947,1,227,1086,10,6,2,68,6.261054642842112,0,234,330,2418,18,4,2,2569,1039,119,84.05558421819441,73,610
2025,DEN,REG,10,213,350,2126,18,8,2760,1152,107,20.403168407197274,-3.081218141983643,4,270,1286,10,2,0,67,1.0587440051182013,0,213,331,2126,18,1,1,2760,1152,107,48.33919971160782,83,736
